Post ID,Survey,İlçe / Mahalle,"T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü, binanızda hasar tespiti işlemi yaptı mı?",T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü'nün hasar tespit sonucu nedir?
,,,,
3069,Hasarlı Bina,Bornova-Kazım Dirik,Evet,Hasarsız
3068,Hasarlı Bina,KONAK\KÜLTÜR MAHALLESİ,Evet,Hasarsız
3067,Hasarlı Bina,Bayraklı,Evet,Hasarsız
3066,Hasarlı Bina,Bayraklı,Evet,Hasarsız
3065,Hasarlı Bina,Konak Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
3064,Hasarlı Bina,Karabağlar Üçkuyular,Hayır,Bilmiyorum / Henüz belli olmadı
3063,Hasarlı Bina,"Gaziemir, gazikent mahallesi",Hayır,Bilmiyorum / Henüz belli olmadı
3062,Hasarlı Bina,KONAK\KÜLTÜR MAHALLESİ,Evet,Hasarsız
3061,Hasarlı Bina,KONAK\KÜLTÜR MAHALLESİ,Evet,Hasarsız
3060,Hasarlı Bina,KONAK\KÜLTÜR MAHALLESİ,Evet,Hasarsız
3059,Hasarlı Bina,Buca kızağa üçkuyular meydanı,Evet,Hafif Hasarlı
3058,Hasarlı Bina,Konak,Evet,Hafif Hasarlı
3057,Hasarlı Bina,Konak,Evet,Bilmiyorum / Henüz belli olmadı
3056,Hasarlı Bina,Bostanli karşiyaka,Hayır,Bilmiyorum / Henüz belli olmadı
3055,Hasarlı Bina,Konak/ Mimar sinan mah.,Evet,Hafif Hasarlı
3054,Hasarlı Bina,Karabağlar Şehitler Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3053,Hasarlı Bina,Konak Çankaya mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3052,Hasarlı Bina,izmir bayraklı manavkuyu mah,Evet,Hafif Hasarlı
3051,Hasarlı Bina,konak- güzelyalı mah.,Hayır,Bilmiyorum / Henüz belli olmadı
3050,Hasarlı Bina,"Faik Paşa, Mh parof.Dr.Alim Şerif onaran. Sk.1276 .no:26 D.No:6 Konak/İzmir",Hayır,Bilmiyorum / Henüz belli olmadı
3049,Hasarlı Bina,"Faik Paşa, Mh parof.Dr.Alim Şerif onaran. Sk.1276 .no:26 D.No:6 Konak/İzmir",Hayır,Bilmiyorum / Henüz belli olmadı
3048,Hasarlı Bina,SOĞUKKUYU MAH.,Evet,Bilmiyorum / Henüz belli olmadı
3047,Hasarlı Bina,Karşıyaka / Soğukkuyu,Evet,Bilmiyorum / Henüz belli olmadı
3046,Hasarlı Bina,Karabağlar/Basın sitesi mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3045,Hasarlı Bina,Nergiz Mahallesi,Evet,Hasarsız
3044,Hasarlı Bina,Bayraklı/ Osmangazi,Hayır,Bilmiyorum / Henüz belli olmadı
3043,Hasarlı Bina,Konak / Güneşli Mahallesi,Evet,Hasarsız
3042,Hasarlı Bina,Konak / Güneşli Mahallesi,Evet,Hasarsız
3041,Hasarlı Bina,İzmir,Evet,Hafif Hasarlı
3040,Hasarlı Bina,KONAK   ALSANCAK,Evet,Orta Hasarlı
3039,Hasarlı Bina,Çankaya mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3038,Hasarlı Bina,İzmir,Evet,Hafif Hasarlı
3037,Hasarlı Bina,Buca valirahmibey,Evet,Hafif Hasarlı
3036,Hasarlı Bina,İzmir,Hayır,Bilmiyorum / Henüz belli olmadı
3035,Hasarlı Bina,"Balçova, Korutürk Mah.",Hayır,Bilmiyorum / Henüz belli olmadı
3034,Hasarlı Bina,"Balçova, Korutürk Mah.",Hayır,Bilmiyorum / Henüz belli olmadı
3033,Hasarlı Bina,Karşıyaka Donanmacı Mahallesi,Hayır,Hasarsız
3032,Hasarlı Bina,BAYRAKLI / MANAVKUYU,Evet,Hasarsız
3031,Hasarlı Bina,"Karsıyaka, Mavisehir",Evet,Hafif Hasarlı
3030,Hasarlı Bina,Konak ilçesi güzelyalı mahallesi,Hayır,Hafif Hasarlı
3029,Hasarlı Bina,Konak/Güzelyalı,Hayır,Hafif Hasarlı
3028,Hasarlı Bina,Tuna,Evet,Hasarsız
3027,Hasarlı Bina,Balçova/ teleferik mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3026,Hasarlı Bina,"Konak, Güzelyalı",Hayır,Bilmiyorum / Henüz belli olmadı
3025,Hasarlı Bina,"Bayraklı, Mansuroğlu Mah.",Evet,Bilmiyorum / Henüz belli olmadı
3024,Hasarlı Bina,Konak Goztepe,Evet,Hasarsız
3023,Hasarlı Bina,Alaybey / Tersane,Evet,Hafif Hasarlı
3022,Hasarlı Bina,Mimar Sinan mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3021,Hasarlı Bina,Konak,Hayır,Bilmiyorum / Henüz belli olmadı
3020,Hasarlı Bina,Bayraklı / Manavkuyu,Evet,Hafif Hasarlı
3019,Hasarlı Bina,Bayrakli / Manavkuyu,Evet,Hafif Hasarlı
3018,Hasarlı Bina,Balçova/Eğitim mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3017,Hasarlı Bina,Balçova/Eğitim mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3016,Hasarlı Bina,Izmir karsiyaka bostanli mahallesi,Evet,Hasarsız
3015,Hasarlı Bina,Bayraklı /Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3014,Hasarlı Bina,Bayraklı /Manavkuyu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3013,Hasarlı Bina,KONAK/KÜLTÜR  MAH.,Evet,Hafif Hasarlı
3012,Hasarlı Bina,Bayraklı,Evet,Hafif Hasarlı
3011,Hasarlı Bina,bayraklı/manavkuyu,Evet,Hasarsız
3010,Hasarlı Bina,Bayraklı / Manavkuyu,Evet,Hasarsız
3009,Hasarlı Bina,Karabağlar / Bahar Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3008,Hasarlı Bina,Konak,Hayır,Bilmiyorum / Henüz belli olmadı
3007,Hasarlı Bina,Karşıyaka,Evet,Orta Hasarlı
3006,Hasarlı Bina,çiğli/yenimahalle,Evet,Hasarsız
3005,Hasarlı Bina,Karşıya DONANMACI mahallesi,Evet,Orta Hasarlı
3004,Hasarlı Bina,Karşıyaka DONANMACI Mahallesi,Evet,Orta Hasarlı
3003,Hasarlı Bina,Gaziemir Irmak Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
3002,Hasarlı Bina,BASIN SİTESİ,Evet,Orta Hasarlı
3001,Hasarlı Bina,Zübeyde Hanım Mah,Evet,Hasarsız
3000,Hasarlı Bina,manavkuyu mah,Evet,Orta Hasarlı
2999,Hasarlı Bina,manavkuyu mah,Evet,Orta Hasarlı
2998,Hasarlı Bina,manavkuyu mah,Evet,Orta Hasarlı
2997,Hasarlı Bina,Konak-Alsancak,Evet,Hafif Hasarlı
2996,Hasarlı Bina,İzmir,Evet,Orta Hasarlı
2995,Hasarlı Bina,Karşıyaka/Alaybey,Hayır,Bilmiyorum / Henüz belli olmadı
2994,Hasarlı Bina,Karşıyaka/ tersane mahallesi,Evet,Hasarsız
2993,Hasarlı Bina,Karşıyaka,Evet,Bilmiyorum / Henüz belli olmadı
2992,Hasarlı Bina,Karşıyaka,Evet,Bilmiyorum / Henüz belli olmadı
2991,Hasarlı Bina,Konak / mithatpaşa mah,Hayır,Bilmiyorum / Henüz belli olmadı
2990,Hasarlı Bina,Musalla mah. Çeşme,Hayır,Bilmiyorum / Henüz belli olmadı
2989,Hasarlı Bina,Karşıyaka / Bostanlı,Hayır,Bilmiyorum / Henüz belli olmadı
2988,Hasarlı Bina,İZMİR,Evet,Hasarsız
2987,Hasarlı Bina,Balçova Korutürk Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2986,Hasarlı Bina,izmir,Evet,Hafif Hasarlı
2985,Hasarlı Bina,Bayraklı Mansuroğlu mahhallesi,Evet,Hafif Hasarlı
2984,Hasarlı Bina,BAYRAKLI MANSUROGLU,Evet,Hafif Hasarlı
2983,Hasarlı Bina,MEHMET ALİ AKMAN,Evet,Hasarsız
2982,Hasarlı Bina,Mansuroğlu mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2981,Hasarlı Bina,Karşıyaka / Tuna Mah.,Evet,Hasarsız
2980,Hasarlı Bina,Bornova/Erzene,Evet,Hasarsız
2979,Hasarlı Bina,Bayraklı / Soğukkuyu,Evet,Hasarsız
2978,Hasarlı Bina,KARŞIYAKA - TERSANE MAHALLESİ,Hayır,Bilmiyorum / Henüz belli olmadı
2977,Hasarlı Bina,Karabağlar/Fahrettin Altay Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2976,Hasarlı Bina,Bayraklı/Manavkuyu Mahallesi,Evet,Orta Hasarlı
2975,Hasarlı Bina,Manavkuyu,Evet,Hafif Hasarlı
2974,Hasarlı Bina,Balçova Korutürk,Hayır,Orta Hasarlı
2973,Hasarlı Bina,Bayraklı,Evet,Hasarsız
2972,Hasarlı Bina,Konak/ Göztepe mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2971,Hasarlı Bina,BAYRAKLI TEPEKULE MAHALLESİ,Evet,Orta Hasarlı
2970,Hasarlı Bina,BAYRAKLI TEPEKULE MAHALLESİ,Evet,Orta Hasarlı
2969,Hasarlı Bina,Alsancak kültür mahallesi,Evet,Hafif Hasarlı
2968,Hasarlı Bina,Gaziemir Yeşil Mahalle,Hayır,Bilmiyorum / Henüz belli olmadı
2967,Hasarlı Bina,Karşıkaya Nergiz Mahallesi,Evet,Bilmiyorum / Henüz belli olmadı
2966,Hasarlı Bina,Çiğli/Ataşehir Mahallesi,Evet,Bilmiyorum / Henüz belli olmadı
2965,Hasarlı Bina,Göztepe,Evet,Bilmiyorum / Henüz belli olmadı
2964,Hasarlı Bina,Karabağlar bahar,Hayır,Hafif Hasarlı
2963,Hasarlı Bina,Karabağlar bahar,Hayır,Hafif Hasarlı
2962,Hasarlı Bina,Narlıdere/Ilıca,Evet,Bilmiyorum / Henüz belli olmadı
2961,Hasarlı Bina,"BAYRAKLI,MANAVKUYU MAH.",Evet,Orta Hasarlı
2960,Hasarlı Bina,"Narlıdere, Ilıca mahallesi",Hayır,Bilmiyorum / Henüz belli olmadı
2959,Hasarlı Bina,Ergene mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2958,Hasarlı Bina,Bornova - Ergene Mahallesi,Evet,Hasarsız
2957,Hasarlı Bina,Karşıyaka Yalı Mahallesi,Evet,Hasarsız
2956,Hasarlı Bina,buca inkılap mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2955,Hasarlı Bina,İzmir bayraklı mustafa kemal cad manavkuyu mah no 162,Evet,Orta Hasarlı
2954,Hasarlı Bina,karşıyaka tuna mahallesi,Evet,Bilmiyorum / Henüz belli olmadı
2953,Hasarlı Bina,KONAK/KÜLTÜR  MAH.,Evet,Hafif Hasarlı
2952,Hasarlı Bina,MANAVKUYU MAH.,Evet,Hasarsız
2951,Hasarlı Bina,İzmir karşıyaka bahçelievler,Evet,Orta Hasarlı
2950,Hasarlı Bina,KARŞIYAKA / ATAKENT,Evet,Hafif Hasarlı
2949,Hasarlı Bina,Konak /Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2948,Hasarlı Bina,Kültür Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2947,Hasarlı Bina,Mimar sinan mah,Hayır,Bilmiyorum / Henüz belli olmadı
2946,Hasarlı Bina,Konak /Akdeniz Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2945,Hasarlı Bina,KONAK/KÜLTÜR  MAH.,Evet,Hafif Hasarlı
2944,Hasarlı Bina,Konak /Akdeniz Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2943,Hasarlı Bina,"Karabağlar ilçesi, Poligon mahallesi",Hayır,Bilmiyorum / Henüz belli olmadı
2942,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2941,Hasarlı Bina,bayraklı mansuroğlu,Evet,Bilmiyorum / Henüz belli olmadı
2940,Hasarlı Bina,bayraklı mansuroğlu,Evet,Ağır Hasarlı
2939,Hasarlı Bina,Bayraklı / Mansuroğlu Mah.,Evet,Hafif Hasarlı
2938,Hasarlı Bina,Bayraklı / Mansuroğlu Mah.,Evet,Hafif Hasarlı
2937,Hasarlı Bina,Karşıyaka/Tuna,Evet,Bilmiyorum / Henüz belli olmadı
2936,Hasarlı Bina,K.yaka bahariye,Evet,Hasarsız
2935,Hasarlı Bina,Güneşli mahallesi konak,Evet,Hasarsız
2934,Hasarlı Bina,BAYRAKLI,Hayır,Bilmiyorum / Henüz belli olmadı
2933,Hasarlı Bina,Bayraklı Manavkuyu,Evet,Hasarsız
2932,Hasarlı Bina,Karşıyaka-Bahçelievler,Evet,Orta Hasarlı
2931,Hasarlı Bina,İzmir/Bayraklı/Mansuroğlu Mah,Evet,Hafif Hasarlı
2930,Hasarlı Bina,Karabağlar/Fahrettin Altay mah,Hayır,Bilmiyorum / Henüz belli olmadı
2929,Hasarlı Bina,Konak- Alsancak Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2928,Hasarlı Bina,Karabağlar-fahrettin altay mah,Hayır,Bilmiyorum / Henüz belli olmadı
2927,Hasarlı Bina,Karabağlar yurtoğlu,Hayır,Bilmiyorum / Henüz belli olmadı
2926,Hasarlı Bina,Çiğli Yenimahalle,Evet,Bilmiyorum / Henüz belli olmadı
2925,Hasarlı Bina,Konak/Güneşli,Evet,Orta Hasarlı
2924,Hasarlı Bina,izmir,Evet,Hasarsız
2923,Hasarlı Bina,Bayraklı / Manavkuyu mahallesi,Evet,Hasarsız
2922,Hasarlı Bina,Karabağlar Vatan mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2921,Hasarlı Bina,osmangazi/bayraklı,Evet,Bilmiyorum / Henüz belli olmadı
2920,Hasarlı Bina,BORNOVA KAZIMDİRİK MAHALLESİ,Evet,Hafif Hasarlı
2919,Hasarlı Bina,bayrakli manavkuyu,Evet,Bilmiyorum / Henüz belli olmadı
2918,Hasarlı Bina,Göztepe/sadıkbey,Hayır,Bilmiyorum / Henüz belli olmadı
2917,Hasarlı Bina,karşıyaka-şemikler,Evet,Hafif Hasarlı
2916,Hasarlı Bina,BKARŞIYAKA/BOSTANLI,Evet,Hasarsız
2915,Hasarlı Bina,BORNOVA KAZIMDIRIK MAH.,Evet,Hasarsız
2914,Hasarlı Bina,Çiğli/balatçık,Hayır,Bilmiyorum / Henüz belli olmadı
2913,Hasarlı Bina,osmangazi/bayraklı,Evet,Bilmiyorum / Henüz belli olmadı
2912,Hasarlı Bina,Kültür mah. 1375 sokak no:6 sevil apt kat :2 daire :9 alsancak izmir,Hayır,Bilmiyorum / Henüz belli olmadı
2911,Hasarlı Bina,Gaziemir/atıfbey,Hayır,Bilmiyorum / Henüz belli olmadı
2910,Hasarlı Bina,"Bayrakli, Manavkuyu Mahallesi",Evet,Hasarsız
2909,Hasarlı Bina,Karşıyaka / Zübeyde Hanım Mahallesi,Evet,Hasarsız
2908,Hasarlı Bina,"Bayraklı, Manavkuyu Mahallesi",Evet,Hafif Hasarlı
2907,Hasarlı Bina,Bayraklı Mansuroğlu,Evet,Hafif Hasarlı
2906,Hasarlı Bina,Narlıdere/Ataturk Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2905,Hasarlı Bina,Karşıyaka Yalı mahallesi,Evet,Hasarsız
2904,Hasarlı Bina,Gaziemir/atıfbey mah,Evet,Bilmiyorum / Henüz belli olmadı
2903,Hasarlı Bina,çiğli egekent,Hayır,Bilmiyorum / Henüz belli olmadı
2902,Hasarlı Bina,Sair esref bulvari 35/2 meydan 2 d apartmani,Hayır,Bilmiyorum / Henüz belli olmadı
2901,Hasarlı Bina,Karşıyaka zübeyde hanım mahallesi,Evet,Hasarsız
2900,Hasarlı Bina,Mansuroğlu Mahallesi Bayraklı İlçesi,Evet,Bilmiyorum / Henüz belli olmadı
2899,Hasarlı Bina,Karabağlar,Hayır,Bilmiyorum / Henüz belli olmadı
2898,Hasarlı Bina,gaziemir/sarnıç,Evet,Hasarsız
2897,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2896,Hasarlı Bina,Göztepe Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2895,Hasarlı Bina,İmbatlı Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2894,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2893,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2892,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2891,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2890,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2889,Hasarlı Bina,Ergene mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2888,Hasarlı Bina,Mimar Sinan Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2887,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2886,Hasarlı Bina,Bornova,Evet,Orta Hasarlı
2885,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2884,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2883,Hasarlı Bina,Mimar Sinan Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2882,Hasarlı Bina,Bornova,Evet,Orta Hasarlı
2881,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2880,Hasarlı Bina,Tepekule mah.,Evet,Hafif Hasarlı
2879,Hasarlı Bina,Aksoy mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2878,Hasarlı Bina,Karabağlar/ basın sitesi mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2877,Hasarlı Bina,Bayraklı - Manavkuyu,Evet,Hasarsız
2876,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2875,Hasarlı Bina,Karabağlar/ basın sitesi mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2874,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2873,Hasarlı Bina,Alsancak Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2872,Hasarlı Bina,Kültür mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2871,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2870,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2869,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2868,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2867,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2866,Hasarlı Bina,Bornova Atatürk mahallesi,Evet,Hafif Hasarlı
2865,Hasarlı Bina,Adalet Mahallesi / Bayraklı,Evet,Hafif Hasarlı
2864,Hasarlı Bina,KARABAĞLAR ÜÇKUYULAR MAHALLESİ,Hayır,Bilmiyorum / Henüz belli olmadı
2863,Hasarlı Bina,ÇİĞLİ/ATAŞEHİR,Hayır,Bilmiyorum / Henüz belli olmadı
2862,Hasarlı Bina,Konak Mithatpaşa,Hayır,Bilmiyorum / Henüz belli olmadı
2861,Hasarlı Bina,Karşıyaka / Bahariye Mahallesi,Evet,Hafif Hasarlı
2860,Hasarlı Bina,Goncalar mah. Karşıyaka,Evet,Orta Hasarlı
2859,Hasarlı Bina,Bostanlı /Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2858,Hasarlı Bina,Alsancak Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2857,Hasarlı Bina,Aliağa / Atatürk Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2856,Hasarlı Bina,karşıyaka şemikler izmir,Hayır,Bilmiyorum / Henüz belli olmadı
2855,Hasarlı Bina,atakent yalı mahallesi 6441/1 sokak no 2,Hayır,Bilmiyorum / Henüz belli olmadı
2854,Hasarlı Bina,murat reis mahallesi 231.sokak n:23 d:5,Hayır,Bilmiyorum / Henüz belli olmadı
2853,Hasarlı Bina,Bayraklı / Tepekule Mahallesi,Evet,Hasarsız
2852,Hasarlı Bina,Bayraklı/Mansuroğlu Mah.,Evet,Hafif Hasarlı
2851,Hasarlı Bina,Karşıyaka nergiz mahallesi,Evet,Hasarsız
2850,Hasarlı Bina,"Konak, Güneşli Mahallesi",Evet,Hasarsız
2849,Hasarlı Bina,Buca,Evet,Hafif Hasarlı
2848,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2847,Hasarlı Bina,Kültür mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2846,Hasarlı Bina,MİMAR SİNAN MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2845,Hasarlı Bina,Ergene mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2844,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2843,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2842,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2841,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2840,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2839,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2838,Hasarlı Bina,İmbatlı Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2837,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2836,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2835,Hasarlı Bina,ALİ ÇETİNKAYA BULV.,Hayır,Bilmiyorum / Henüz belli olmadı
2834,Hasarlı Bina,TALATPAŞA BULV.,Hayır,Bilmiyorum / Henüz belli olmadı
2833,Hasarlı Bina,Cumhuriyet Bulvarı,Hayır,Bilmiyorum / Henüz belli olmadı
2832,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2831,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2830,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2829,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2828,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2827,Hasarlı Bina,MİMAR SİNAN MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2826,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2825,Hasarlı Bina,KÜÇÜKÇİĞLİ MAH,Hayır,Bilmiyorum / Henüz belli olmadı
2824,Hasarlı Bina,karabağlar Üçkuyular Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2823,Hasarlı Bina,Bayraklı / Mansuroğlu Mahallesi,Evet,Hafif Hasarlı
2822,Hasarlı Bina,Alsancak Konak,Hayır,Bilmiyorum / Henüz belli olmadı
2821,Hasarlı Bina,Karabağlar Esenyalı Mah.,Evet,Hasarsız
2820,Hasarlı Bina,Bayraklı-Mansuroğlu Mahallesi,Evet,Hafif Hasarlı
2819,Hasarlı Bina,İzmir Karşıyaka / Bostanlı,Evet,Bilmiyorum / Henüz belli olmadı
2818,Hasarlı Bina,ÇİĞLİ,Hayır,Bilmiyorum / Henüz belli olmadı
2817,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2816,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
