Post ID,Survey,İlçe / Mahalle,"T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü, binanızda hasar tespiti işlemi yaptı mı?",T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü'nün hasar tespit sonucu nedir?
2815,Hasarlı Bina,ÇİĞLİ,Hayır,Bilmiyorum / Henüz belli olmadı
2814,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2813,Hasarlı Bina,İzmir,Hayır,Bilmiyorum / Henüz belli olmadı
2812,Hasarlı Bina,Korutürk,Hayır,Bilmiyorum / Henüz belli olmadı
2811,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2810,Hasarlı Bina,MİMAR SİNAN MAHALLESİ,Hayır,Bilmiyorum / Henüz belli olmadı
2809,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2808,Hasarlı Bina,ŞAİR EŞREF BULVARI,Hayır,Bilmiyorum / Henüz belli olmadı
2807,Hasarlı Bina,PARK YAŞAM MAVİŞEHİR OFİSLERİ YALI MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2806,Hasarlı Bina,Bayraklı / Mansuroğlu,Evet,Hafif Hasarlı
2805,Hasarlı Bina,Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2804,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2803,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2802,Hasarlı Bina,MİMAR SİNAN MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2801,Hasarlı Bina,Şair Eşref Bulvarı,Hayır,Bilmiyorum / Henüz belli olmadı
2800,Hasarlı Bina,Mimar Sinan Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2799,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2798,Hasarlı Bina,MANAVKUYU MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2797,Hasarlı Bina,Bayraklı,Hayır,Bilmiyorum / Henüz belli olmadı
2796,Hasarlı Bina,Bayraklı manavkuyu,Evet,Orta Hasarlı
2795,Hasarlı Bina,"KONAK, Murat Reis Mahallesi.",Hayır,Bilmiyorum / Henüz belli olmadı
2794,Hasarlı Bina,MUSTAFA KEMAL PAŞA MAH. GÜZELBAHÇE/İZMİR,Hayır,Bilmiyorum / Henüz belli olmadı
2793,Hasarlı Bina,AHMET TANER KIŞLALI MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2792,Hasarlı Bina,ADALET MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2791,Hasarlı Bina,MANSUROĞLU MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2790,Hasarlı Bina,"""2132/2 SK.",Hayır,Bilmiyorum / Henüz belli olmadı
2789,Hasarlı Bina,MANAVKUYU MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2788,Hasarlı Bina,Karşıyaka/goncalar mahallesi,Evet,Hafif Hasarlı
2787,Hasarlı Bina,KARŞIYAKA / NERGİZ,Evet,Hafif Hasarlı
2786,Hasarlı Bina,SOĞUKKUYU MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2785,Hasarlı Bina,Nergiz,Hayır,Hafif Hasarlı
2784,Hasarlı Bina,ALİ FUAT CEBESOY MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2783,Hasarlı Bina,NERGİZ MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2782,Hasarlı Bina,ALAYBEY MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2781,Hasarlı Bina,Alsancak,Evet,Hafif Hasarlı
2780,Hasarlı Bina,KOZAĞAÇ MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2779,Hasarlı Bina,EFELER MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2778,Hasarlı Bina,Bayraklı /Mansuroğlu Mahallesi,Evet,Ağır Hasarlı
2777,Hasarlı Bina,KOZAĞAÇ MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2776,Hasarlı Bina,MENDERES MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2775,Hasarlı Bina,GÖKSU MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2774,Hasarlı Bina,YEŞİLBAĞLAR  MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2773,Hasarlı Bina,UFUK MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2772,Hasarlı Bina,ÇANKAYA MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2771,Hasarlı Bina,GÜZELYALI MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2770,Hasarlı Bina,GÜNEŞLİ MAHALLESİ,Hayır,Bilmiyorum / Henüz belli olmadı
2769,Hasarlı Bina,ZAFERTEPE MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2768,Hasarlı Bina,Göksu Mahallesi Buca,Evet,Hafif Hasarlı
2767,Hasarlı Bina,YENİDOĞAN MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2766,Hasarlı Bina,26 AĞUSTOS MAH.,Evet,Bilmiyorum / Henüz belli olmadı
2765,Hasarlı Bina,ULUBATLI MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2764,Hasarlı Bina,MİTHATPAŞA MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2763,Hasarlı Bina,konak / kültür mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2762,Hasarlı Bina,KILIÇREİS MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2761,Hasarlı Bina,SÜMER MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2760,Hasarlı Bina,Bayraklı / Mansuroğlu,Evet,Hasarsız
2759,Hasarlı Bina,KONAK,Evet,Hafif Hasarlı
2758,Hasarlı Bina,Bayraklı,Evet,Hafif Hasarlı
2757,Hasarlı Bina,Maltepe Mah. Güzelbahçe,Hayır,Bilmiyorum / Henüz belli olmadı
2756,Hasarlı Bina,Çiğli/ Güzeltepe Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2755,Hasarlı Bina,Çiğli/Ataşehir,Evet,Hafif Hasarlı
2754,Hasarlı Bina,Gaziemir ırmak mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2753,Hasarlı Bina,izmir-bayrakli manavkuyu şehit pilot üsteğmen türker aydın sk no: 28-30 başarı 4-5-6 blokları,Evet,Hafif Hasarlı
2752,Hasarlı Bina,KARŞIYAKA,Hayır,Bilmiyorum / Henüz belli olmadı
2750,Hasarlı Bina,Şair Eşref Bulvarı,Hayır,Bilmiyorum / Henüz belli olmadı
2749,Hasarlı Bina,ATATÜRK CADDESİ KORDON,Hayır,Bilmiyorum / Henüz belli olmadı
2748,Hasarlı Bina,Buca / Yeşilbağlar Mahallersi,Evet,Hasarsız
2747,Hasarlı Bina,"Karşıyaka, Aksoy",Evet,Hasarsız
2746,Hasarlı Bina,"Bayraklı, Mansuroğlu",Evet,Hafif Hasarlı
2745,Hasarlı Bina,Mimar Sinan Mah.,Evet,Bilmiyorum / Henüz belli olmadı
2743,Hasarlı Bina,TEPEKULE MAHALLESİ,Evet,Hafif Hasarlı
2742,Hasarlı Bina,Erzene mahallesi,Evet,Hasarsız
2741,Hasarlı Bina,Konak alsancak,Evet,Bilmiyorum / Henüz belli olmadı
2740,Hasarlı Bina,BUCA İNKİLAP MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2739,Hasarlı Bina,Konak Güzelyalı,Hayır,Bilmiyorum / Henüz belli olmadı
2738,Hasarlı Bina,Buca,Evet,Hafif Hasarlı
2737,Hasarlı Bina,SOĞUKKUYU MAHALLESİ / BAYRAKLI,Evet,Hafif Hasarlı
2736,Hasarlı Bina,ergene mahallesi,Evet,Hasarsız
2735,Hasarlı Bina,bayraklı mansuroğlu,Evet,Hafif Hasarlı
2734,Hasarlı Bina,mansuroğlu,Evet,Hafif Hasarlı
2733,Hasarlı Bina,KARŞIYAKA MAHALLESİ,Evet,Bilmiyorum / Henüz belli olmadı
2732,Hasarlı Bina,KONAK ALSANCAK,Evet,Bilmiyorum / Henüz belli olmadı
2731,Hasarlı Bina,mavişehir karşıyaka,Evet,Bilmiyorum / Henüz belli olmadı
2730,Hasarlı Bina,KARŞIYAKA MAVİŞEHİR,Evet,Bilmiyorum / Henüz belli olmadı
2729,Hasarlı Bina,KARŞIYAKA GİRNE,Evet,Bilmiyorum / Henüz belli olmadı
2728,Hasarlı Bina,KARŞIYAKA MAVİŞEHİR,Evet,Bilmiyorum / Henüz belli olmadı
2727,Hasarlı Bina,KARŞIYAKA DONANMACI MAH,Evet,Bilmiyorum / Henüz belli olmadı
2726,Hasarlı Bina,Karabağlar Esenyalı mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2725,Hasarlı Bina,Bayraklı Mansuroğlu Mahallesi,Evet,Hasarsız
2724,Hasarlı Bina,Karşıyaka / Bahçelievler Mah.,Evet,Bilmiyorum / Henüz belli olmadı
2723,Hasarlı Bina,Bayraklı Mansuroğlu Mahallesi,Evet,Hasarsız
2722,Hasarlı Bina,İZMİR,Evet,Hafif Hasarlı
2721,Hasarlı Bina,Bayraklı Mansuroğlu Mahallesi,Evet,Hasarsız
2720,Hasarlı Bina,İzmir Karşıyaka,Evet,Hafif Hasarlı
2719,Hasarlı Bina,izmir,Hayır,Bilmiyorum / Henüz belli olmadı
2718,Hasarlı Bina,Adalet,Evet,Hafif Hasarlı
2717,Hasarlı Bina,BUCA  İNKİLAP,Hayır,Bilmiyorum / Henüz belli olmadı
2716,Hasarlı Bina,Balçova fevzi çakmak mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2715,Hasarlı Bina,İZMİR,Hayır,Bilmiyorum / Henüz belli olmadı
2714,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2713,Hasarlı Bina,Narlı mahallesi,Evet,Bilmiyorum / Henüz belli olmadı
2711,Hasarlı Bina,SEFERİHİSAR / CAMİKEBİR,Hayır,Bilmiyorum / Henüz belli olmadı
2710,Hasarlı Bina,bayraklı   izmir   özel muayehane,Evet,Bilmiyorum / Henüz belli olmadı
2709,Hasarlı Bina,"Konak, Atilla mahallesi",Evet,Bilmiyorum / Henüz belli olmadı
2708,Hasarlı Bina,BAYRAKLI/MANAVKUYU,Evet,Hasarsız
2707,Hasarlı Bina,bayraklı,Evet,Hasarsız
2706,Hasarlı Bina,BİNBAŞI REŞAT BEY MAH.,Evet,Bilmiyorum / Henüz belli olmadı
2705,Hasarlı Bina,izmir bornova,Evet,Hasarsız
2704,Hasarlı Bina,Narlıdere / narlı mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2703,Hasarlı Bina,Kahramanlar,Hayır,Bilmiyorum / Henüz belli olmadı
2702,Hasarlı Bina,konak kültür mah,Hayır,Bilmiyorum / Henüz belli olmadı
2701,Hasarlı Bina,Karşıyaka Donanmacı Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2700,Hasarlı Bina,Tersane Mahallesi Alaybey / Karşıyaka,Evet,Hafif Hasarlı
2699,Hasarlı Bina,Karşıyaka Tershane mah. Alaybey,Hayır,Bilmiyorum / Henüz belli olmadı
2698,Hasarlı Bina,Bayraklı/Manavkuyu,Evet,Hafif Hasarlı
2697,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2696,Hasarlı Bina,"Bayraklı,manavkuyu mah",Evet,Hafif Hasarlı
2695,Hasarlı Bina,Konak /Çınarlı Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2694,Hasarlı Bina,Kuşadası /Ege Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2693,Hasarlı Bina,Karşıyaka /Ataşehir Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2692,Hasarlı Bina,Karşıyaka /Nergiz Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2691,Hasarlı Bina,Bayraklı /Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2690,Hasarlı Bina,Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2689,Hasarlı Bina,Karşıyaka /İmbatlı Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2688,Hasarlı Bina,Bayraklı /Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2687,Hasarlı Bina,Karşıyaka /Yalı Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2686,Hasarlı Bina,Bayraklı ilçesi Mahsuroğlu Mahallesi,Evet,Hafif Hasarlı
2685,Hasarlı Bina,Balçova / Çetin Emeç Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2684,Hasarlı Bina,Konak ilçesi Barbaros Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2683,Hasarlı Bina,Karşıyaka /Yalı Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2681,Hasarlı Bina,Konak ilçesi Turgut Reis Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2680,Hasarlı Bina,karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2679,Hasarlı Bina,"Bornova,Erzene Mah.",Evet,Hafif Hasarlı
2678,Hasarlı Bina,"Bornova,Erzene Mah.",Evet,Hafif Hasarlı
2677,Hasarlı Bina,"Bornova,Erzene Mah.",Evet,Hafif Hasarlı
2676,Hasarlı Bina,Karşıyaka / Bahçelievler,Hayır,Bilmiyorum / Henüz belli olmadı
2675,Hasarlı Bina,Karşıyaka / Donanmacı Mahallesi,Evet,Hafif Hasarlı
2674,Hasarlı Bina,Bayraklı /Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2673,Hasarlı Bina,Bahçelievler / Karşıyaka,Evet,Orta Hasarlı
2672,Hasarlı Bina,BORNOVA İNÖNÜ MAHALLESİ,Hayır,Hafif Hasarlı
2671,Hasarlı Bina,Konak ilçesi Alsancak mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2670,Hasarlı Bina,Bayraklı / Manavkuyu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2669,Hasarlı Bina,KONAK/KÜLTÜR  MAH.,Evet,Hafif Hasarlı
2668,Hasarlı Bina,Bayraklı /Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2667,Hasarlı Bina,Karşıyaka / Bahariye Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2666,Hasarlı Bina,balçova / fevzi çakmak,Hayır,Bilmiyorum / Henüz belli olmadı
2665,Hasarlı Bina,Karşıyaka /Bostanlı,Hayır,Bilmiyorum / Henüz belli olmadı
2664,Hasarlı Bina,Manavkuyu,Evet,Hafif Hasarlı
2663,Hasarlı Bina,Konak Kültür Mahallesi,Evet,Hafif Hasarlı
2662,Hasarlı Bina,Bayraklı /Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2661,Hasarlı Bina,Bayraklı / Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2660,Hasarlı Bina,Karşıyaka / Zübeyde Hanım Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2659,Hasarlı Bina,Tersane Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2658,Hasarlı Bina,Bayraklı / Manavkuyu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2657,Hasarlı Bina,Yalı Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2656,Hasarlı Bina,Karşıyaka / Bahariye,Hayır,Bilmiyorum / Henüz belli olmadı
2655,Hasarlı Bina,Bayraklı,Hayır,Bilmiyorum / Henüz belli olmadı
2654,Hasarlı Bina,Karşıyaka/Goncalar,Hayır,Bilmiyorum / Henüz belli olmadı
2653,Hasarlı Bina,Konak,Hayır,Bilmiyorum / Henüz belli olmadı
2652,Hasarlı Bina,Konak,Hayır,Bilmiyorum / Henüz belli olmadı
2651,Hasarlı Bina,Bayraklı / Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2650,Hasarlı Bina,Karşıyaka / Bahçelievler Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2649,Hasarlı Bina,Aksoy Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2648,Hasarlı Bina,KARŞIYAKA,Evet,Hasarsız
2647,Hasarlı Bina,Bornova Ergene mahallesi 550 sokak,Hayır,Orta Hasarlı
2646,Hasarlı Bina,mansuroğlu mahallesi,Evet,Hafif Hasarlı
2645,Hasarlı Bina,KARŞIYAKA ALAYBEY MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2644,Hasarlı Bina,Konak /Atilla Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2643,Hasarlı Bina,Karşıyaka /Fikri Altay Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2642,Hasarlı Bina,Karşıyaka /Tuna Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2641,Hasarlı Bina,"bornova, ergene mahallesi",Evet,Hasarsız
2640,Hasarlı Bina,Donanmacı Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2639,Hasarlı Bina,Çiğli /İnönü Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2638,Hasarlı Bina,Aksoy Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2637,Hasarlı Bina,Konak /Göztepe Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2636,Hasarlı Bina,Yalı Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2635,Hasarlı Bina,Bahçelievler Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2634,Hasarlı Bina,Evka-3 Mahallesi / Bornova,Hayır,Bilmiyorum / Henüz belli olmadı
2633,Hasarlı Bina,Karşıyaka /Donanmacı Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2632,Hasarlı Bina,Çınarlı Mahallesi / Konak,Hayır,Bilmiyorum / Henüz belli olmadı
2631,Hasarlı Bina,Karşıyaka /Bahçelievler,Hayır,Bilmiyorum / Henüz belli olmadı
2630,Hasarlı Bina,Mansuroğlu Mahallesi / Bayraklı,Hayır,Bilmiyorum / Henüz belli olmadı
2629,Hasarlı Bina,Konak,Hayır,Bilmiyorum / Henüz belli olmadı
2628,Hasarlı Bina,Mansuroğlu Mahallesi / Bayraklı,Hayır,Bilmiyorum / Henüz belli olmadı
2627,Hasarlı Bina,Tersane Mahallesi / Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2626,Hasarlı Bina,Konak / Kılıç Reis Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2625,Hasarlı Bina,Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2624,Hasarlı Bina,Karşıyaka / Goncalar Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2623,Hasarlı Bina,Bayraklı/Manavkuyu Mahallesi,Evet,Hasarsız
2622,Hasarlı Bina,"Menderes, Gümüldür",Evet,Orta Hasarlı
2621,Hasarlı Bina,Bornova / Erzene Mahallesi,Evet,Hasarsız
2620,Hasarlı Bina,Karabağlar Üçkuyular Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2619,Hasarlı Bina,izmir bornova,Evet,Hasarsız
2618,Hasarlı Bina,izmir bornova,Evet,Hasarsız
2617,Hasarlı Bina,Manavkuyu mah bayraklı,Evet,Bilmiyorum / Henüz belli olmadı
2616,Hasarlı Bina,Bornova/ Erzene Mahallesi,Evet,Hasarsız
2615,Hasarlı Bina,Karabağlar Üçkuyular Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2614,Hasarlı Bina,"Menemen, Ulukent, 30 Ağustos Mahallesi",Hayır,Bilmiyorum / Henüz belli olmadı
2613,Hasarlı Bina,Bayraklı / Mansuroğlu mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2612,Hasarlı Bina,Karşıyaka / Bostanlı mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2611,Hasarlı Bina,Bayraklı / Osmangazi mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2610,Hasarlı Bina,Menderes / Gazipaşa mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2609,Hasarlı Bina,bornova-pınarbaşı-kemalpaşa mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2608,Hasarlı Bina,Bayraklı / Manavkuyu mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2607,Hasarlı Bina,Bornova / Mansuroğlu mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2606,Hasarlı Bina,Konak / Çınarlı mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2605,Hasarlı Bina,Karşıyaka / Bostanlı mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2604,Hasarlı Bina,Bayraklı / Bayraklı,Evet,Hasarsız
2603,Hasarlı Bina,Konak / Göztepe mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2602,Hasarlı Bina,Seferihisar / Camikebir mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2601,Hasarlı Bina,Karşıyaka / Şemikler mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2600,Hasarlı Bina,Karşıyaka / Bostanlı mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2599,Hasarlı Bina,Bornova / Erzene Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2598,Hasarlı Bina,Konak / Alsancak mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2597,Hasarlı Bina,Bayraklı Mansuroğlu mah.,Evet,Hafif Hasarlı
2596,Hasarlı Bina,Konak / Akın Simav Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2595,Hasarlı Bina,Bayraklı / Manavkuyu mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2594,Hasarlı Bina,Karşıyaka / Dedebaşı mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2593,Hasarlı Bina,Bayraklı / Soğukkuyu mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2592,Hasarlı Bina,Konak / Mehmet Ali Akman Mahallesi,Evet,Hafif Hasarlı
2591,Hasarlı Bina,Karşıyaka / Yalı mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2590,Hasarlı Bina,Karşıyaka / Demirköprü mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2589,Hasarlı Bina,Bayraklı / Soğukkuyu mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2588,Hasarlı Bina,İzmir Bayraklı soğukkuyu mahallesi,Evet,Hafif Hasarlı
2587,Hasarlı Bina,MAVİŞEHİR,Evet,Bilmiyorum / Henüz belli olmadı
2586,Hasarlı Bina,Karabağlar / Şehitler mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2585,Hasarlı Bina,Karşıyaka/Donanmacı mahallesi,Evet,Hafif Hasarlı
2584,Hasarlı Bina,Konak / Kemal Reis mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2583,Hasarlı Bina,Buca / Hürriyet mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2582,Hasarlı Bina,Bornova/Erzene,Evet,Bilmiyorum / Henüz belli olmadı
2581,Hasarlı Bina,Aliağa / Kurtuluş mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2580,Hasarlı Bina,Torbalı / Ertuğrul mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2579,Hasarlı Bina,Urla / M. Fevzi çakmak mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2578,Hasarlı Bina,Karşıyaka / Tersane mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2577,Hasarlı Bina,Bayrakli,Evet,Hasarsız
2576,Hasarlı Bina,Karşıyaka İmbatlı Mahallesi,Evet,Hasarsız
